curp ,idSucursal ,rfc ,nss,fechaNacimiento,fechadeIngreso,salario,antiguedad,edad
933442708372758039,4,7773445481656,918075866,1993/01/16,2018/03/25,5900.0,2021/07/01,23
326777200893290595,58,6702108109940,733578687,1982/08/01,2021/11/19,5678.8,2022/06/01,38
493823389500067394,44,8283790410834,445242437,1995/12/05,2022/03/22,5032.9,2022/04/11,24
517879736341105653,24,5214937083653,501576663,2001/11/19,2020/06/27,2085.1,2022/04/05,22
891580247244704360,38,0208187262334,760909904,1983/11/21,2016/01/24,4018.5,2021/07/12,31
660872005765036934,60,7889046041739,750111008,1984/12/30,2022/04/14,5138.5,2021/09/18,28
685703553645687122,60,0861736085436,550254128,1998/06/07,2020/05/28,4886.5,2022/05/27,31
309230583445986942,22,5278475216485,652580052,1996/09/04,2021/06/23,2678.9,2021/11/19,34
476155990216741962,7,4680559706626,907578301,1989/08/20,2016/12/23,5961.8,2021/09/25,37
521574668673847268,9,0780200206645,218483403,1991/02/14,2016/05/18,4906.7,2021/08/25,40
243349974473800631,33,7634392951363,609885588,1995/11/23,2018/05/16,4391.0,2022/05/26,20
304915036165746210,28,8564747771184,295983007,1983/02/03,2017/09/11,2558.2,2022/05/19,36
757327695626912897,23,8600901721573,280429989,1991/03/17,2018/09/09,4692.0,2021/11/09,29
976815172012319573,55,7423285211310,888948196,1995/05/21,2021/07/05,3724.2,2021/09/19,29
977835041847448807,3,2076807755800,084030125,1988/03/07,2017/08/09,3995.4,2021/07/14,21
052885239021925858,24,5793505328837,503637176,1991/03/08,2021/05/07,2612.5,2021/09/26,35
087047436626913137,55,2912953549971,045741478,1995/11/20,2022/03/26,2643.0,2022/03/25,29
344516450937186069,63,1971902389500,735282746,1996/03/29,2017/02/20,5479.1,2022/05/20,33
378977799483137806,36,9143068017335,088730191,2000/03/30,2020/03/11,3013.4,2022/02/15,35
844043300620835517,66,4886968613593,498753454,1990/04/30,2020/07/16,4201.3,2021/08/05,30
122889882009417476,10,3325995245456,437313978,1999/01/01,2020/02/18,5164.3,2022/04/09,37
152581389419809192,61,9548732786952,878934588,1997/07/19,2016/07/30,4610.3,2021/09/24,38
420019659063197564,20,0597321532904,436190303,1991/04/24,2019/01/20,4856.3,2022/05/29,21
588794858474119633,37,4833025084000,139418834,1989/07/09,2016/05/28,2584.8,2021/07/15,32
539710325769658677,25,6702798803324,723038635,1992/12/01,2022/04/17,2701.3,2021/07/11,22
013897435547336084,47,5859201793340,817182915,1999/07/22,2021/07/08,5707.8,2022/04/11,24
543678313980433037,19,7154847659395,560005928,1984/05/23,2017/07/12,4536.2,2021/08/07,23
945666973437671377,40,7427834082400,848339423,1994/11/22,2018/12/03,2336.0,2022/04/15,28
