curp,nombre ,apPat,apMat,calle,numero,cp,estado,email
577058439484482675,david,altimiras,aleu,8 Sutteridge Place,13,81306,yucatan,rsimmonite0@lycos.com
652620827167509798,ivan,uceda,aguilar,1 Riverside Lane,74,27602,colima,rchatin1@bravesites.com
238878560001969271,silvia,ariza,altimiras,6506 Amoth Junction,01193,22348,jalisco,gliddington2@unc.edu
804503200423980015,ivet,torne,gavilan,36 Linden Place,7050,69678,michoacan de ocampo,hbannerman3@exblog.jp
435775685410577910,laura,abdin,tort,01505 Anniversary Plaza,48,24513,aan luis potosi,nklausen4@cnbc.com
479858714395025036,anna,pascual,bastardas,3676 Bultman Point,17,32935,sonora,msacaze5@creativecommons.org
932793228725812902,eloi,perez,ariza,15 Lillian Alley,59,71752,mexico,mharwell6@statcounter.com
120766223163400867,maria,aguilar,baraldes,4 Harbort Trail,01,80778,mexico,shesser7@surveymonkey.com
856856066761797068,julio,altimiras,boix,187 Sheridan Court,31210,15487,guanajuato,tmudie8@bluehost.com
839956795086307777,lucia,compte,moliner,35105 Lyons Lane,18428,94986,coahuila de zaragoza,esteketee9@ezinearticles.com
747976233270247078,raquel,gese,gese,56177 Memorial Point,4,44709,baja california,jganta@dailymotion.com
715502718587934677,alberto,prat,tatje,9205 Michigan Road,045,45987,hidalgo,rklewib@smugmug.com
999378941385602238,jordi,jose,bidault,19250 Clarendon Alley,259,68540,hidalgo,cpolc@epa.gov
970191109480741679,juan,martorell,sanchez,47 Anderson Terrace,37867,53185,coahuila de zaragoza,apomfretd@sogou.com
791262474192821616,raquel,alvarez,andreu,100 Mayfield Point,0079,18912,michoacan de ocampo,cmcanee@nbcnews.com
914669767101827097,natalia,andres,domenech,13 Farmco Terrace,19093,27414,baja california sur,lhanscombef@berkeley.edu
737248022045326274,cristian,garrigassait,cruz,62013 Jana Park,75,96269,hidalgo,aduddeng@examiner.com
079300940191212332,silvia,benitez,tejado,7021 Melrose Way,7269,71527,sonora,abelshawh@etsy.com
887616506246288839,joan,rueda,gese,57 Quincy Hill,905,98302,guerrero,nphilsoni@fda.gov
933906987864398818,sergi,alavedra,cruz,874 Logan Park,66671,05900,chiapas,kraoj@bbc.co.uk
571689244185813031,gerard,abdin,gonzalez,9 Everett Court,1,82611,zacatecas,jgallacciok@rediff.com
345100046693505455,marc,algue,abdin,26968 Dunning Drive,9188,73834,colima,awarnel@economist.com
571339425864150343,david,aloy,sanchez,1503 Montana Street,71,34789,mexico,ecoolbearm@thetimes.co.uk
255323287698267945,gemma,biosca,barriga,72066 Dovetail Street,6,60836,morelos,cmitchenern@ehow.com
948522101858039571,ramon,baraldes,pueyo,1 Moland Plaza,77,96497,tlaxcala,dschofieldo@feedburner.com
846662707194959124,ingrid,aguilar,herms,53 Doe Crossing Crossing,1,03850,aguascalientes,ehalworthp@yale.edu
279694054288794771,david,flores,maturano,6868 Goodland Junction,89,34422,coahuila de zaragoza,jricardsq@woothemes.com
768342892972580094,marc,valles,alavedra,1776 Pearson Street,76346,10177,michoacan de ocampo,bwintonr@vkontakte.ru
290354213996363787,sandra,icart,berengueras,78 Trailsway Lane,9788,09230,michoacan de ocampo,lvargas@uol.com.br
884196508857184821,jairo,suarez,monros,09226 Pennsylvania Alley,623,06877,baja california,ccastellat@over-blog.com
794284295151902024,isabel,boix,amigo,5504 Daystar Crossing,3,07952,hidalgo,clghanu@hao123.com
341232128723366260,marc,puigbo,garcia,9 Brickson Park Trail,53,50078,oaxaca,mmilleyv@taobao.com
703147146611863821,eric,garrigasait,berengueras,20 Miller Court,1117,72987,tamaulipas,mgothrupw@addtoany.com
640126744142405208,gemma,bonvehi,artigas,26421 Mcbride Park,663,77496,tlaxcala,ctrouncex@friendfeed.com
227030176204759030,ferran,alvarez,bajona,24069 Rockefeller Park,2,22649,jalisco,escarcey@wiley.com
419507783858607009,joan,gomez,baraldes,8534 Jenifer Plaza,69509,59766,chihuahua,sgoninz@cocolog-nifty.com
914404928092977276,noelia,aligue,gese,79 Rutledge Terrace,773,18346,colima,bdanielkiewicz10@bandcamp.com
351912357873224340,damia,casas,masana,444 Summer Ridge Point,83,82680,yucatan,myewman11@yale.edu
383231070327873030,alexia,baraldes,torne,951 Morning Junction,7,35807,morelos,xtrevor12@oakley.com
686179025904917575,alexia,avila,gomez,6182 Hanson Parkway,1078,19059,tabasco,rbellenger13@cargocollective.com
049130551348779216,agusti,asensio,gomez,4978 Sunfield Point,5104,29596,baja california,cbenfell14@icq.com
411535227027748759,julio,gonzalez,portella,63 Clemons Terrace,686,64337,estado,aketcher15@army.mil
835797141706966616,gerard,fontanet,blanco,4 3rd Lane,24283,37724,jalisco,ashrubshall16@studiopress.com
151378697069077187,joan,farrando,comas,20708 Ridgeview Lane,60,87126,baja california sur,eeverex17@state.gov
602305570950821074,julio,aloy,bidault,502 Nova Plaza,632,13970,veracruz,rbadrick18@businessweek.com
399731420033338491,gemma,baraldes,lopez,8 Hagan Road,685,70392,quintana roo,cliebmann19@comsenz.com
774965537466965168,isabel,flotats,figueras,68 Larry Hill,3804,05980,quintana roo,cwillbond1a@soundcloud.com
285435702359884609,silvia,alins,acuna,19 Sutherland Hill,00245,07521,chiapas,kjinks1b@t-online.de
233362769164260053,adria,artigas,baez,55176 Fisk Hill,47420,61390,colima,tbrass1c@youtu.be
194000007096593294,oriol,raya,amigo,5 Autumn Leaf Road,6,83858,queretaro,mduly1d@berkeley.edu
984361092537420004,juan,garcia,domenech,6854 Moulton Junction,49788,06977,tamaulipas,acamblin1e@gnu.org
098117417231176074,queralt,aguilar,armenteros,04 Eagle Crest Place,34,03500,campeche,ycumberledge1f@acquirethisname.com
746144280744998832,damia,gomez,armenteros,191 Knutson Point,6816,52266,guerrero,etullis1g@hao123.com
576668566716314929,jose,rivera,casas,9828 Briar Crest Terrace,10,78744,queretaro,kdulany1h@xrea.com
415082583542478770,gemma,gomez,avila,4 Katie Street,438,50693,yucatan,ldreossi1i@cbsnews.com
963243293517658796,david,garcia,aroca,78 Westerfield Circle,3,48798,aguascalientes,ksawl1j@lycos.com
059231757603840378,maria,rueda,alvarez,26245 Meadow Vale Plaza,4477,84092,tamaulipas,npalombi1k@infoseek.co.jp
857829697106323346,cristian,andreu,soto,85178 Rowland Crossing,30164,84849,oaxaca,strethowan1l@woothemes.com
959628641220874061,maria,de,lara,05 Meadow Vale Plaza,887,61744,mexico,gsinkings1m@netvibes.com
582411199881119131,raquel,benitez,rivera,83 Granby Street,705,47978,ciudad de mexico,ccampkin1n@omniture.com
309573857633178098,jose,moliner,figueras,25 Bultman Drive,6,02648,durango,wjacks1o@irs.gov
271576361995450991,enric,gomez,sunye,3 Debra Point,39,98119,hidalgo,vhannabuss1p@instagram.com
198735228874159468,esther,torrescasana,uceda,3 Oneill Crossing,8,29163,quintana roo,mgarrals1q@who.int
621613798237720550,jordi,granados,flotats,303 Anhalt Parkway,9,05293,yucatan,elanfear1r@wikia.com
731630775506236503,jordi,garcia,valles,81865 Talmadge Park,2231,16241,estado,vdozdill1s@purevolume.com
659890929846675543,marta,andreu,uceda,4020 Northfield Court,1273,23908,baja california,troxburgh1t@jigsy.com
227370716037864721,queralt,gavilan,garcia,89097 Monica Alley,0706,67697,michoacan de ocampo,kramsted1u@dedecms.com
205611986999769703,joan,franch,fontanet,365 Pawling Junction,916,43836,tlaxcala,hantonognoli1v@yale.edu
633736485295799413,dounya,garzon,zambudio,89 Melvin Park,97,78197,michoacan de ocampo,cmoret1w@acquirethisname.com
978676238473742689,cristian,dhaene,masjuan,91 Golf View Drive,535,23365,sinaloa,cyon1x@ox.ac.uk
520960943004143036,ana,morales,galobart,928 Pawling Plaza,415,00751,queretaro,kminard1y@tmall.com
306058228853780959,gemma,rodriguez,aguilera,589 Ryan Way,65627,30460,oaxaca,aparkyn1z@va.gov
772908079257679132,joan,trancho,bonvehi,432 Kensington Plaza,7244,91762,tlaxcala,ssommerlin20@illinois.edu
114012105930830998,julio,asensio,aloy,1 Ridge Oak Parkway,35,34178,puebla,bmaclaig21@google.com.hk
791838501002797129,adria,andreu,flores,48578 Main Hill,60,71835,campeche,jstanyland22@bloglines.com
054871570806648498,lluis,ferrer,lara,06 Delladonna Street,4,01688,ciudad de mexico,vbalsellie23@t-online.de
504832723298939354,marc,alvarez,franch,0 Portage Trail,6063,31187,zacatecas,avonsalzberg24@ycombinator.com
890667978656819077,julio,alins,garrigassait,9525 Ridgeway Center,12172,84647,estado,nannon25@histats.com
568236903049385533,carla,serarols,garcia,0 Orin Street,85101,95425,veracruz,breuss26@arstechnica.com
821100727899172070,jose,altimiras,serarols,98 Prairie Rose Hill,7,55278,baja california,cdjurisic27@reuters.com
927396635915478101,damia,gonzalez,aguilera,49 Bonner Junction,82,77505,baja california,rbrunnstein28@fotki.com
028593359406282165,agusti,portella,martorell,30529 Rigney Center,064,20785,zacatecas,rmerrigan29@bloglines.com
953750200771646488,natalia,arissa,ferrer,1540 La Follette Place,62258,71118,durango,bdominik2a@blinklist.com
053817371877845526,virginia,rasero,garcia,50 Atwood Center,82,73550,sinaloa,sposnett2b@blog.com
112060989156520881,gemma,libori,domenech,865 Shelley Point,1,83480,aan luis potosi,lwessel2c@spiegel.de
564445446319305051,enric,flotats,aguilar,2 Twin Pines Drive,74754,26630,coahuila de zaragoza,mheyfield2d@123-reg.co.uk
334556184408323703,julio,icart,aguilera,534 Service Way,7487,56711,mexico,lsimionescu2e@tinyurl.com
321364060970102411,oliver,alvarez,zafra,110 Stuart Lane,0,38602,mexico,mweal2f@over-blog.com
959377342014526182,marta,alvarez,baez,3920 Washington Avenue,1967,68908,puebla,aalliker2g@netvibes.com
182170683196137360,ana,puigbo,alvarez,56 Colorado Lane,84,91810,jalisco,cthome2h@geocities.com
880642998422733075,silvia,gasset,domenech,24124 Service Alley,149,33734,colima,dsange2i@google.co.jp
556132697656300522,maria,aguilera,luque,57137 Anzinger Junction,303,81539,nayarit,iashborne2j@youku.com
279491106205693036,gemma,jose,rodriguez,64233 Valley Edge Avenue,8,24969,chiapas,ehaughey2k@creativecommons.org
108561232362502842,lucia,vilafranca,arnau,86 Hintze Park,486,92917,queretaro,jcastagneto2l@mashable.com
362300453571046520,jordi,aguilera,gomez,981 Elka Junction,90707,56121,ciudad de mexico,bbasant2m@bloglines.com
186360842364979101,maria,fontanet,modrego,07217 Village Green Crossing,01173,69367,tamaulipas,aishak2n@zdnet.com
033169176996261058,damia,garrigassait,maturano,0946 Granby Center,9,05493,hidalgo,kmaynard2o@google.co.uk
950163437431164302,veronica,puig,figueras,495 Oneill Drive,53,73811,durango,jbrownsall2p@cdc.gov
056730854175332172,joan,pardo,altimiras,2 Havey Alley,1029,52269,zacatecas,gebbens2q@hhs.gov
889597274050080168,sandra,masana,garcia,7 Mesta Circle,611,92278,campeche,cespinosa2r@ftc.gov
158164688581800963,jesus,garrigassait,avila,825 Fairfield Alley,893,40514,chiapas,cbernaldez2s@privacy.gov.au
621409874306760983,ana,baraldes,alvarez,731 Huxley Street,713,57438,aan luis potosi,abracher2t@gmpg.org
289072598871870008,maria,acuna,garcia,6027 Sutherland Street,76,14703,nuevo leon,ssinnie2u@unblog.fr
185462402383523773,gemma,acuna,aroca,590 Northland Park,0,84342,estado,dfreschini2v@mozilla.com
618320967683191823,juan,baez,garcia,872 Lillian Road,468,62389,yucatan,rhandscombe2w@mozilla.com
214458322559074980,abel,arissa,amigo,966 Forest Run Way,8,81497,veracruz,fethridge2x@usgs.gov
617009247580446141,ricard,garcia,figueras,41 Florence Pass,933,44151,chiapas,lgallatly2y@prweb.com
790491421706570799,eliot,galobart,alvarez,54813 Bunting Street,45648,79211,hidalgo,haltoft2z@cyberchimps.com
204222344519162096,joan,arocas,alavedra,312 Raven Terrace,06167,27291,sonora,rleggott30@altervista.org
861895066890533790,mireia,zafra,tatj�,1 Briar Crest Terrace,96,59117,puebla,jallerton31@1688.com
240530789120102325,david,baez,galobart,22128 Grover Junction,9400,42549,mexico,apeachman32@cornell.edu
532494228714955997,mireia,alins,canellas,10 Knutson Place,04817,55240,michoacan de ocampo,ddallaway33@reference.com
409007546769004172,gerard,granados,libori,69726 Dottie Pass,8,65360,aan luis potosi,eallott34@nydailynews.com
883543253738815707,aran,sunye,gomez,521 Lakewood Gardens Point,12,66218,quintana roo,cealles35@howstuffworks.com
097454968198667593,isabel,alapont,asensio,88 Sunbrook Pass,29,89428,coahuila de zaragoza,tlemm36@dropbox.com
930168488241290439,adria,abdin,icart,136 Orin Hill,6585,05955,veracruz,wgatrill37@businessweek.com
249576797328871935,natalia,castillo,alins,568 Messerschmidt Drive,596,18225,nayarit,agerbel38@domainmarket.com
127251781226885888,monica,blanco,boix,5928 Lillian Crossing,2,68389,guerrero,omartinon39@tinyurl.com
025035080563906273,mireia,bidault,codinachs,58 Birchwood Crossing,79,15763,colima,shaggidon3a@nps.gov
774071762667766227,david,flores,vilafranca,585 Daystar Terrace,445,39963,colima,kgercken3b@yale.edu
078446224844590542,natalia,garcia,garrigasait,06 Ohio Circle,054,51940,campeche,gpumfrey3c@ox.ac.uk
324982756913121471,maria,biosca,tard�,8 Sunnyside Plaza,30559,05560,baja california,ojustis3d@jimdo.com
847147006741510824,gemma,arpa,ferrer,2718 Dawn Street,50800,41361,queretaro,mportch3e@rakuten.co.jp
